Category, Title, Price, Price Per Unit, Packsize, Image Link
baby baby-food,Mamia Baby Fruit 4 Months+ 120g ,$0.89,74c per 100g,120g,https://www.aldi.com.au/fileadmin/_processed_/f/2/csm_ALN2460_Q3_WEB_AUDIT_Babycare__1x1_228x128_05849678b9.jpg
baby baby-food,Mamia Baby’s First Breakfast 4mth+ Fruit & Cereal,$0.89,74c per 100g,4mth,https://www.aldi.com.au/fileadmin/_processed_/8/5/csm_ALN1726-2_1x1_BABYCARE_228x128__e191cf1e0e.jpg
baby baby-food,Mamia Baby Food Desserts 6 Months+ 120g  ,$0.89,74c per 100g,120g,https://www.aldi.com.au/fileadmin/_processed_/6/1/csm_ALN1726-2_1x1_BABYCARE_228x128_2_6a94e6f69f.jpg
baby baby-food,Mamia Premium Baby Food 6+ Months 120g ,$0.89,74c per 100g,120g,https://www.aldi.com.au/fileadmin/_processed_/2/4/csm_ALN1726-2_1x1_BABYCARE_228x128_3_89e6473daf.jpg
baby baby-food,Mamia Baby Food 6 Months+ 120g ,$0.89,74c per 100g,120g,https://www.aldi.com.au/fileadmin/_processed_/b/3/csm_ALN2147_1x1_BABYCARE_228x128__f9064a6f41.jpg
baby baby-food,Mamia Fruit Snack Cereal Bars Apple 12+ months 8pk 128g ,$0.89,74c per 100g,128g,https://www.aldi.com.au/fileadmin/_processed_/7/d/csm_ALN1726-2_1x1_BABYCARE_228x128_6_11a2b1eaad.jpg
baby baby-food,Mamia Fruit Snack Cereal Bars Apple Blueberry & Banana 12+ months 8pk 128g ,$0.89,74c per 100g,128g,https://www.aldi.com.au/fileadmin/_processed_/d/2/csm_ALN3077_BABY-FOOD_1x1_228x128_6_f49ac9d357.jpg
baby baby-food,Mamia Fruit Snack Cereal Bars Apple & Raspberry 12+ months 8pk 128g ,$2.79,$2.18 per 100g,128g,https://www.aldi.com.au/fileadmin/_processed_/3/9/csm_ALN3077_BABY-FOOD_1x1_228x128__22705daf2f.jpg
baby baby-food,Mamia Fruit & Oat Bars 90g - Strawberry 12+ Months ,$2.79,$2.18 per 100g,90g,https://www.aldi.com.au/fileadmin/_processed_/0/f/csm_ALN3077_BABY-FOOD_1x1_228x128_2_e2c70a0032.jpg
baby baby-food,Mamia Fruit & Oat Bars 90g - Apple & Raisin with Yogurt 12+ Months ,$2.79,$2.18 per 100g,90g,https://www.aldi.com.au/fileadmin/_processed_/b/2/csm_ALN3077_BABY-FOOD_1x1_228x128_3_a2af7a0934.jpg
baby baby-food,Mamia Fruit & Oat Bars 90g - Apricot 12+ Months ,$2.99,$3.32 per 100g,90g,https://www.aldi.com.au/fileadmin/_processed_/7/b/csm_ALN1726-2_1x1_BABYCARE_228x128_10_b7583c7371.jpg
baby baby-food,Mamia Organic Apple Mini Rice Cakes 40g ,$2.99,$3.32 per 100g,40g,https://www.aldi.com.au/fileadmin/_processed_/1/f/csm_ALN1726-2_1x1_BABYCARE_228x128_11_9425bc2423.jpg
baby baby-food,Mamia Organic Raspberry Mini Rice Cakes 40g ,$2.99,$3.32 per 100g,40g,https://www.aldi.com.au/fileadmin/_processed_/a/b/csm_ALN1726-2_1x1_BABYCARE_228x128_12_b3734ae39b.jpg
baby baby-food,Mamia Infant Formula Toddler Step 3 900g ,$2.49,$6.23 per 100g,900g,https://www.aldi.com.au/fileadmin/_processed_/2/5/csm_ALN3077_BABY-FOOD_1x1_228x128_4_e5faa35b4b.jpg
baby baby-food,Mamia Organic Fruit 4 months+ 120g ,$2.49,$6.23 per 100g,120g,https://www.aldi.com.au/fileadmin/_processed_/8/6/csm_ALN3077_BABY-FOOD_1x1_228x128_5_df85b20479.jpg
laundry-household household,Power Force Gel Toilet Discs 75ml ,$4.99,$6.65 per 100ml,75ml,https://www.aldi.com.au/fileadmin/_processed_/0/4/csm_ALN2364_AWARDS_HOME_CLEANING_1x1_228x128__df81e22722.jpg
